2025-03-02 20:54:06,468 - ContinuousServer - INFO - Loaded global model from global_model.json
2025-03-02 20:54:06,468 - ContinuousServer - INFO - Server started. Press Ctrl+C to stop...
2025-03-02 20:54:06,468 - ContinuousServer - INFO - Server listening on 0.0.0.0:8080
2025-03-02 20:56:17,330 - ContinuousServer - INFO - Loaded global model from global_model.json
2025-03-02 20:56:17,331 - ContinuousServer - INFO - Server started. Press Ctrl+C to stop...
2025-03-02 20:56:17,331 - ContinuousServer - INFO - Server listening on 0.0.0.0:8080
2025-03-02 21:06:25,205 - ContinuousServer - INFO - Loaded global model from global_model.json
2025-03-02 21:06:25,206 - ContinuousServer - INFO - Server started. Press Ctrl+C to stop...
2025-03-02 21:06:25,206 - ContinuousServer - INFO - Server listening on 0.0.0.0:8080
2025-03-02 21:06:30,264 - ContinuousServer - INFO - Client connected from ('127.0.0.1', 50716)
2025-03-02 21:06:30,266 - ContinuousServer - INFO - Sent global model to client ('127.0.0.1', 50716)
2025-03-02 21:06:31,981 - ContinuousServer - INFO - Expecting 88299 bytes from client ('127.0.0.1', 50716)
2025-03-02 21:06:31,982 - ContinuousServer - INFO - Received client contribution (client #1, pending: 1)
2025-03-02 21:06:48,661 - ContinuousServer - INFO - Client connected from ('127.0.0.1', 50718)
2025-03-02 21:06:48,664 - ContinuousServer - INFO - Sent global model to client ('127.0.0.1', 50718)
2025-03-02 21:06:50,038 - ContinuousServer - INFO - Expecting 88200 bytes from client ('127.0.0.1', 50718)
2025-03-02 21:07:20,646 - ContinuousServer - INFO - Client connected from ('127.0.0.1', 50721)
2025-03-02 21:07:20,649 - ContinuousServer - INFO - Sent global model to client ('127.0.0.1', 50721)
2025-03-02 21:07:22,000 - ContinuousServer - INFO - Expecting 88235 bytes from client ('127.0.0.1', 50721)
